path,hit_count,category_count,categories,likely_role,role_score
scripts/stage14_5e_r3_final_robustness_evidence_freeze.py,121,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage24_2_compute_short_horizon_perturbation_metrics.py,121,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage07_contact_schedule_wbc_support_test.py,119,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage21_4_sync_and_freeze_local_robustness_evidence.py,119,6,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage15_4_validate_pinocchio_jacobian_candidate_rollout.py,118,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage07_online_swing_joint_tracking_recommended_test.py,117,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage07_online_swing_joint_tracking_stability_sweep.py,117,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage14_5d_r1_baseline_runner_structure_inspection.py,117,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,3
scripts/stage07_full_wbc_stance_constraint_qp.py,114,8,baseline_torque_generation; contact_gait_state; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage07_online_swing_joint_target_tracking_support_test.py,114,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage07_full_wbc_dynamics_qp.py,113,9,baseline_torque_generation; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage22_1_qvel_perturbation_preflight.py,113,8,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage10_0_5_controller_planning_freeze_summary.py,112,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage10_clamp_watchdog_utility_without_publisher.py,112,8,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
scripts/stage23_1_qvel_injection_trace_preflight.py,112,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; mujoco_torque_write_or_step; qp_osqp_solve_path; state_reading_mapping,candidate_controller_patch_point,3
scripts/stage15_3_validate_contact_force_candidate_rollout.py,111,10,baseline_torque_generation; candidate_scale_or_blending; contact_gait_state; control_mode_or_runner_args; mpc_wbc_candidate_torque; pinocchio_kinematics_dynamics; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping; swing_leg_pd,candidate_controller_patch_point,2
scripts/stage22_2_validate_observable_perturbation_rollouts.py,111,7,baseline_torque_generation; candidate_scale_or_blending; control_mode_or_runner_args; mpc_wbc_candidate_torque; qp_osqp_solve_path; safety_filter_or_saturation; state_reading_mapping,candidate_controller_patch_point,2
